SNID,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,redshift
17206,45.9858992991,0.728174798529,21.6987,20.08821,18.9792,18.40579,18.02959,0.2320779,0.02836882,0.01544047,0.01514417,0.03530148,0.1564658
17218,356.171811008,-0.030105024895,21.17088,20.14827,19.41026,19.05759,18.80925,0.1161721,0.02237377,0.01824127,0.01882893,0.05598684,0.1783863
17395,354.40607078,-0.950633350349,21.95946,20.75753,19.71305,19.32204,18.91172,0.2437652,0.04261987,0.02473586,0.0265074,0.07153326,0.3026087
17423,345.642330186,-0.83848111837,21.93608,20.69278,19.44427,18.96133,18.58088,0.1942854,0.03296429,0.01783811,0.01648086,0.03799246,0.2652053
17552,322.321267416,-1.00281512894,22.40234,21.09178,20.01847,19.49027,18.9835,0.3887701,0.05988229,0.03727405,0.03504952,0.08669943,0.2533377
17647,34.2823690423,-0.802126004903,25.03907,21.47625,21.0063,20.60197,20.5971,1.359047,0.08185963,0.08002023,0.08298305,0.2905813,0.27462
17687,323.36932329,1.00294056707,22.46471,21.11367,20.16539,19.7243,19.47501,0.3138337,0.03951082,0.02690857,0.02899867,0.08605858,0.3032521
17695,41.9898938476,0.589275108167,21.53921,20.80514,20.24637,19.91961,19.80346,0.2292343,0.05864131,0.05437833,0.0640617,0.1884109,0.1829046
17773,33.284195365,-0.306444290671,22.09411,21.45407,20.7027,20.5063,20.18011,0.2019217,0.05599279,0.04088111,0.04916659,0.1407605,0.2880597
17809,6.36492388627,-0.839299918864,22.58568,21.58923,20.89653,20.54173,20.45429,0.3744049,0.07725525,0.06549089,0.07223479,0.2203914,0.2889781
17899,353.699536687,-0.151692295515,22.28006,21.76571,20.91938,20.69216,20.38263,0.2440033,0.07109417,0.05294241,0.06144802,0.1772801,0.2888167
1794,317.836954502,-0.445390108886,22.36983,20.76017,20.37079,20.09793,20.12148,0.44993,0.05189762,0.06145645,0.07756505,0.2940916,0.1427668
17949,29.205219034,-0.235559819763,23.22779,22.13338,20.61441,20.23475,20.20683,0.5230134,0.1057878,0.04002344,0.0393269,0.1474015,0.2639536
18011,346.662846034,0.0908463290066,21.76679,20.73246,19.74202,19.34623,18.83815,0.214456,0.0416374,0.02733632,0.02747783,0.07215298,0.2840378
18049,6.31058999636,-0.36751257341,22.30917,21.49782,20.60134,20.21411,20.12392,0.2504826,0.06390578,0.04661365,0.04476909,0.1634787,0.2886119
18189,37.9301659394,-0.367423128281,21.84145,20.09139,19.04747,18.58053,18.15248,0.2244516,0.02590064,0.01599764,0.0154552,0.03803789,0.2857739
18201,47.3123059994,-0.644953041841,20.51113,19.73828,18.82818,18.43152,17.97378,0.1074698,0.02564452,0.01877893,0.01887183,0.04245417,0.2930322
18273,334.739514628,-0.630266237413,21.41801,20.75565,19.9523,19.7549,19.24065,0.1227497,0.03118325,0.02466021,0.02922919,0.06523235,0.3162233
18283,39.7508285422,-0.545749511119,21.8876,20.37768,19.29324,18.81174,18.38952,0.2962458,0.03307804,0.02045951,0.01960187,0.04739609,0.299104
18301,348.966754973,0.815557309367,22.22906,20.6836,19.37366,18.80967,18.30868,0.4391192,0.0482524,0.02301689,0.02279117,0.04984239,0.3315576
18324,6.38105687028,0.793839505485,25.42802,22.52145,21.69894,21.40938,21.07419,0.8142293,0.1188083,0.08658965,0.09455264,0.2918468,0.2669457
18333,19.4580475346,1.12181952189,21.16392,20.42537,19.58237,19.16327,18.89919,0.1450076,0.03152237,0.02052602,0.02209282,0.0634695,0.2540151
18362,10.1364872307,-0.182124289966,21.63662,20.46678,19.4404,18.96989,18.67229,0.1958657,0.03035323,0.01952427,0.01836899,0.05484747,0.2363104
18363,10.9101454245,-0.157369338125,21.90723,21.47007,20.78403,20.65854,20.0952,0.169597,0.04925826,0.04130856,0.04936885,0.1165543,0.3085257
18375,11.5163981332,-0.0106771298027,20.47581,18.99098,18.17496,17.80427,17.52045,0.07583167,0.01052739,0.008178961,0.00816783,0.02106299,0.1105329
18456,29.458871158,-0.398129471,21.77488,20.11619,18.99864,18.54365,18.23697,0.1589471,0.02088329,0.0124236,0.01185818,0.03003663,0.21993499994278
18588,338.471803224,-1.20452312885,21.7222,21.08566,20.59216,20.35455,20.23715,0.1861295,0.0502076,0.04439133,0.05522878,0.2099167,0.2513073
18602,338.983657649,0.60908083857,22.12222,21.5463,20.86587,20.52316,20.22121,0.2624645,0.07687235,0.06217256,0.07317581,0.1901796,0.1383328
18604,340.920816346,0.421305232523,24.93291,25.04843,23.62832,21.7676,21.99232,0.7323855,0.6061217,0.3737325,0.1272207,0.4757218,0.176260992
18612,12.2880200749,0.596611969687,19.36209,17.75431,16.87933,16.42729,16.13127,0.05254259,0.007894256,0.005710723,0.005834108,0.01222767,0.1148299
18617,345.761419321,0.84938344214,22.77598,21.84737,20.88876,20.63168,20.263,0.6672189,0.1249246,0.086323,0.1077096,0.2949204,0.3273875
18650,328.447231853,0.0150344471961,22.08381,21.20931,20.8066,20.49407,20.32584,0.2338015,0.04595681,0.0486057,0.05329907,0.196172,0.1137208
18697,11.224210199,-0.996851125168,19.81989,18.46317,17.76304,17.35073,17.03597,0.07398096,0.01207634,0.009673527,0.00953074,0.02422716,0.1072617
18749,12.5465860314,0.675718424323,21.03475,19.18577,17.96521,17.4726,17.13923,0.1377504,0.01476868,0.008328042,0.008570405,0.01953204,0.1906259
18804,25.266027448,-0.448289003,20.85083,19.95339,19.15494,18.86875,18.75478,0.1828962,0.03844179,0.03313774,0.03863232,0.09784134,0.198425993323326
18827,37.8339730138,1.07099595877,21.74706,19.96933,18.6685,20.06299,17.95181,0.1918232,0.02203193,0.01078605,0.04409562,0.02443755,0.2987114
18835,53.6853872511,0.355504129848,20.54508,18.9452,17.8919,17.42165,17.0277,0.1159415,0.01309759,0.008549229,0.008205385,0.02210253,0.1231858
18940,10.3486541866,0.411853512843,21.28019,20.1785,19.45501,19.08973,19.04428,0.2446352,0.03765378,0.03078945,0.03263542,0.129795,0.2123936
18965,13.5092128666,1.06891883078,21.48992,20.1242,19.06506,18.64654,18.38984,0.2036549,0.025874,0.01642029,0.01746822,0.04633856,0.2059034
18971,31.4454869718,1.20834297225,21.88715,20.16703,18.87745,18.36363,17.99159,0.2450289,0.02559624,0.01314478,0.01264281,0.03000947,0.2713639
18972,35.507139144,1.15486628516,21.45458,20.40265,18.83877,18.26169,17.85633,0.2060931,0.03644815,0.01481168,0.01375384,0.03366205,0.3310273
19027,328.884007664,-0.371783852357,22.67237,22.12777,21.30506,21.27771,20.81564,0.437863,0.11882,0.08279807,0.114729,0.3299033,0.2926235
19051,351.375293601,0.423402354012,22.09176,20.1209,18.65039,18.12771,17.79025,0.2369129,0.02371866,0.01074955,0.01083584,0.02458555,0.2777384
19149,31.4604076959,-0.332586409488,22.12811,21.11333,20.56405,20.23392,20.25015,0.2207861,0.04813594,0.04161435,0.04470046,0.1777027,0.2112804
19155,31.264779623,0.175134025,19.36458,17.75704,16.97619,16.49094,16.09658,0.05460176,0.007309429,0.00591815,0.005377809,0.01212978,0.0768839
19246,351.660781848,-0.86542450541,23.94827,21.18193,19.89419,19.3683,19.04884,1.441558,0.06958967,0.03477635,0.03363693,0.09365733,0.3352547
19274,353.885381494,-0.570189342025,22.75813,21.83277,20.91194,20.44442,20.15876,0.4917943,0.0839837,0.05531224,0.05123128,0.147709,0.2546497
19353,43.1132643414,0.251742827414,20.3017,19.05205,18.09062,17.59639,17.16113,0.1158758,0.02039983,0.01189691,0.01066807,0.02864648,0.1540343
19414,331.591680145,0.040178818669,22.90831,20.88493,19.3647,18.75106,18.33904,0.6615472,0.05133213,0.02221962,0.01889858,0.0530452,0.2917822
19425,323.508410645,-0.740647458691,24.53884,21.28874,19.93589,19.39097,18.98161,1.189843,0.05149591,0.02484142,0.02309133,0.05603784,0.2113821
19449,9.55272826362,0.591554291542,22.44534,21.88082,20.94901,20.70044,20.44981,0.3062896,0.09737488,0.0666209,0.07815176,0.2072984,0.3309386
19652,347.874477305,1.02381731091,21.77648,20.7709,19.95158,19.72587,19.17123,0.3052149,0.0544646,0.03980863,0.05367145,0.1300976,0.2459916
19708,42.1729085467,0.654603676862,22.84307,20.57874,19.21448,18.70811,18.37222,0.3912402,0.02907423,0.01398945,0.01337295,0.02977389,0.237433
19769,350.443342526,-0.976357245927,22.65062,21.27171,20.20465,19.92057,19.60787,0.4927485,0.07100836,0.04017623,0.04947787,0.157412,0.252555
19772,12.6662879019,-1.04201105564,21.33351,19.5355,18.42222,17.95439,17.60817,0.1509283,0.0166733,0.01001795,0.009651843,0.02305847,0.1751751
19775,318.956164723,0.651219256748,22.37235,20.24576,19.13218,18.59188,18.2387,0.3607558,0.02842434,0.01592627,0.01462633,0.03493028,0.138091996312141
19818,35.2665213551,0.496523848836,21.81403,20.97969,20.2441,19.9221,19.69515,0.1461989,0.03854977,0.02844367,0.03307085,0.08659701,0.3050625
19821,356.779497816,1.02601733452,23.37166,21.74702,20.37327,19.83694,19.60752,0.6237815,0.07365252,0.03396084,0.03475859,0.1055099,0.266108
1991,339.626821953,0.908167518115,21.73418,21.24715,20.44983,20.22436,20.09242,0.2473768,0.07035358,0.05431835,0.07150693,0.2151751,0.3154784
19953,332.930317713,0.579332407598,20.54692,19.48841,19.03143,18.77825,18.75562,0.1392001,0.03025642,0.02879893,0.03628242,0.1169853,0.1232409
19968,24.3491062794,-0.311724664812,18.83869,17.06411,16.26673,15.92474,15.6112,0.02928975,0.00468833,0.003863652,0.003951415,0.007836581,0.05596735
19969,31.9098306358,-0.324044928573,20.07896,19.01758,18.42055,18.06198,17.92219,0.05299347,0.01165999,0.01022215,0.01022656,0.03014648,0.1752423
