GAL,redshift,stellarmass,absmag_u,absmag_g,absmag_r,absmag_i,absmag_z
21034,0.108558,2.91230e+10,-20.0087,-20.9249,-21.4538,-21.7078,-21.9941
21487,0.189139,3.37390e+10,-19.1447,-20.6452,-21.2727,-21.5355,-21.8449
21502,0.0891632,6.80218e+10,-19.0483,-20.7974,-21.6973,-22.1645,-22.5058
21543,0.324883,7.06820e+09,-20.7261,-18.8280,-22.1120,-19.4459,-18.9519
21813,0.325169,4.40728e+10,-20.0410,-20.3800,-21.2358,-21.6122,-21.9577
22075,0.129964,9.49148e+10,-19.3613,-21.2384,-22.0393,-22.4080,-22.7234
2330,0.213361,6.76579e+09,-18.1160,-18.9957,-19.5641,-19.7507,-20.2143
2372,0.180438,1.77603e+10,-18.1113,-19.5892,-20.3655,-20.7628,-21.1946
2440,0.191126,1.82673e+10,-19.4536,-20.5134,-21.0150,-21.2306,-21.5074
2532,0.268899,1.75060e+11,-20.1214,-21.9572,-22.7383,-23.1508,-23.4408
2639,0.216312,5.58678e+10,-19.1156,-20.9483,-21.6597,-21.9745,-22.2640
2855,0.245102,2.35521e+09,-18.3115,-18.8058,-19.3584,-19.3316,-19.4648
3087,0.165494,4.94091e+09,-18.2089,-19.0209,-19.4974,-19.7055,-19.9691
3205,0.147577,2.00704e+10,-18.6305,-19.9477,-20.6846,-21.0647,-21.4093
3241,0.259082,1.43119e+11,-20.5832,-21.9292,-22.7053,-23.0886,-23.4745
3256,0.108243,5.79412e+09,-17.4611,-18.7964,-19.4190,-19.6871,-19.9323
3317,0.161011,9.53740e+09,-18.4253,-19.5684,-20.1100,-20.2726,-20.5017
3331,0.213132,4.85829e+10,-18.9264,-20.7454,-21.5027,-21.8627,-22.2586
3452,0.231156,6.31931e+08,-17.7986,-18.6236,-18.8903,-18.8053,-18.4090
